Entity,Code,Year,Percentage of unemployed inserting/answering ads in job search,Percentage of unemployed using direct applications in job search,Percentage of unemployed using private employment agency in job search,"Percentage of unemployed using test, interview, or examination in job search","Percentage of unemployed using friends, relatives, trade unions, etc. in job search",Percentage of unemployed using public employment office in job search,Percentage of unemployed studying ads in job search
Austria,AUT,2008,50,73,15,55,80,79,90
Belgium,BEL,2008,24,31,43,11,35,69,56
Bulgaria,BGR,2008,16,49,14,8,65,46,36
Cyprus,CYP,2008,15,57,2,18,77,48,63
Czechia,CZE,2008,21,78,17,34,89,90,84
Denmark,DNK,2008,68,69,3,17,53,44,85
EU-LFS,,2008,42,52,21,17,61,65,68
Estonia,EST,2008,29,36,4,6,63,30,54
Finland,FIN,2008,42,53,15,21,40,60,87
France,FRA,2008,52,61,32,22,59,64,86
Germany,DEU,2008,58,20,19,12,39,93,58
Greece,GRC,2008,29,87,9,20,89,63,71
Hungary,HUN,2008,42,73,25,6,84,74,86
Ireland,IRL,2008,29,82,30,32,85,56,93
Italy,ITA,2008,24,60,19,34,80,28,58
Latvia,LVA,2008,25,72,6,11,91,42,86
Lithuania,LTU,2008,14,45,5,3,58,53,55
Luxembourg,LUX,2008,20,55,16,4,63,77,88
Netherlands,NLD,2008,52,62,47,35,57,50,76
Poland,POL,2008,36,65,7,15,82,75,80
Portugal,PRT,2008,19,48,9,5,38,61,27
Romania,ROU,2008,43,48,6,12,56,12,64
Slovakia,SVK,2008,14,36,6,4,60,80,47
Slovenia,SVN,2008,75,79,22,57,86,71,83
Spain,ESP,2008,31,74,32,24,84,43,60
Sweden,SWE,2008,19,45,5,1,25,73,53
United Kingdom,GBR,2008,59,49,24,0,50,67,82